airline_name,overall_score,review_title,reviewer_country,review_date,aircraft_model,travel_type,seat_type,route,date_flown,seat_comfort_rating,service_rating,food_rating,entertainment_rating,groundservice_rating,wifi_rating,value_rating,recommended,year,month
air-france,1,cancelled flight 15 minutes before departure, United States ,2022-10-21,,Business,Economy Class,Bucharest to Paris,October 2022,0,0,0,0,1,0,1,0,2022,10
air-france,1,hasn’t paid any compensation yet, United States ,2022-10-19,,Family Leisure,Economy Class,Washington to Hamburg via Paris,July 2022,2,3,1,4,1,0,1,0,2022,10
air-france,9,comfortable and the service friendly, United States ,2022-10-16,Boeing 787,Business,Premium Economy,Bogota to Helsinki via Paris,October 2022,4,5,4,5,4,0,5,1,2022,10
air-france,2,regret not having traveled by train, United States ,2022-10-12,A321,Solo Leisure,Business Class,Paris to Montpellier,October 2022,3,2,1,0,1,1,1,0,2022,10
air-france,10,The food and wine was extraordinary, United States ,2022-10-10,Boeing 777-300,Solo Leisure,Business Class,Paris to Vancouver,September 2022,5,5,5,4,5,0,5,1,2022,10
air-france,9,Would fly Air France again, United States ,2022-10-08,Boeing 777-200,Couple Leisure,Economy Class,New U=York to Paris,October 2022,5,5,4,5,4,0,5,1,2022,10
air-france,2,everything was so uncoordinated, United States ,2022-10-03,,Couple Leisure,Economy Class,New York to Stuttgart via Paris,October 2022,3,1,1,2,1,3,1,0,2022,10
air-france,9,the best flight attendants, United States ,2022-09-30,,Solo Leisure,Economy Class,Paris to Seattle,September 2022,4,5,5,5,3,5,5,1,2022,9
air-france,1,call centre obviously doesn't care, United States ,2022-09-30,,Business,Economy Class,London to Dubai via Paris,September 2022,2,2,0,0,1,0,1,0,2022,9
air-france,1,promised to deliver the missing baggage, Hong Kong ,2022-07-05,,Solo Leisure,Economy Class,London to Paris,June 2022,1,2,0,1,1,0,1,0,2022,7
air-france,5,Some of the cabin crew were gloomy, Hong Kong ,2022-07-04,,Solo Leisure,Economy Class,Paris to Berlin,July 2022,3,2,3,0,1,0,3,0,2022,7
air-france,1,flight is postponed to the next day, Hong Kong ,2022-07-01,,Couple Leisure,Premium Economy,Paris to Delhi,June 2022,1,1,0,0,1,0,1,0,2022,7
air-france,1,tickets are very expensive, Hong Kong ,2022-06-29,,Business,Economy Class,Birmingham to Paris,June 2022,1,3,1,1,2,0,1,0,2022,6
air-france,9,providing exceptional customer service, Hong Kong ,2022-06-27,,Couple Leisure,Premium Economy,Firenze to Paris,June 2022,5,5,5,5,5,3,5,1,2022,6
air-france,3,this is my first and last trip with AF, Hong Kong ,2022-06-27,,Solo Leisure,Economy Class,Montreal to Paris via Tunis,June 2022,4,4,4,4,1,1,2,0,2022,6
air-france,1,caused us so much unnecessary stress, Hong Kong ,2022-06-26,,Couple Leisure,Economy Class,Paris to Nice,June 2022,1,5,2,1,1,0,1,0,2022,6
air-france,1,airline lost the luggage, Hong Kong ,2022-06-26,,Couple Leisure,Economy Class,New York to Bordeaux via Paris,June 2022,1,3,1,1,1,1,1,0,2022,6
air-france,5,food was not up to the quality, Hong Kong ,2022-06-25,,Business,Business Class,Mumbai to Los Angeles via Paris,June 2022,3,1,2,2,4,2,3,0,2022,6
air-france,9,Kudos to the attentiveness of the Air France agents!, Hong Kong ,2022-06-23,,Couple Leisure,Premium Economy,Paris to Vancouver via Victoria ,June 2022,4,4,4,4,5,0,4,1,2022,6
air-france,1,The refund was never made, Romania ,2022-08-25,,Business,Economy Class,Trondheim to London via Amsterdam,April 2022,0,0,0,0,1,0,1,0,2022,8
air-france,10,such a wonderful experience, Romania ,2022-08-19,Boeing 787,Family Leisure,Economy Class,London to Punta Cana via Paris,August 2022,5,5,5,5,5,5,5,1,2022,8
air-france,10,Outstanding service, Romania ,2022-08-19,Boeing 777-300,Business,Business Class,Bucharest to New York via Paris,August 2022,5,5,5,3,5,5,5,1,2022,8
air-france,1,weigh their carry-on luggage, Romania ,2022-08-13,,Couple Leisure,Economy Class,Paris to Prague,August 2022,3,1,0,0,1,0,1,0,2022,8
air-france,1,missing one checked bag, Romania ,2022-08-11,,Solo Leisure,Economy Class,Orlando to Beirut via Manchester / Paris,July 2022,2,1,1,3,2,3,1,0,2022,8
air-france,6,The in flight experience was fine, Romania ,2022-08-09,Boeing 777,Family Leisure,Economy Class,New York to Paris CDG,July 2022,3,3,3,4,2,0,4,1,2022,8
air-france,6,never encountered such incompetence, Romania ,2022-08-04,Boeing 777-200 / 777-300,Business,Business Class,Washington to Conakry via Paris,December 2021,4,4,5,4,1,4,2,0,2022,8
air-france,1,5 hours waiting to get our 2 carry-on bags, Romania ,2022-08-04,,Family Leisure,Economy Class,Paris to Miami,August 2022,1,0,0,0,1,0,1,0,2022,8
air-france,9,excellent on-board service, Romania ,2022-08-03,Boeing 773 / A319,Couple Leisure,Business Class,Montreal to Marseille via Paris,July 2022,5,5,4,4,3,4,5,1,2022,8
air-france,1,there is nobody who can help you , Romania ,2022-08-02,A330-300,Couple Leisure,Economy Class,Vancouver to Paris ,August 2022,0,0,0,0,0,0,1,0,2022,8
air-france,1,extremely disappointed, Canada ,2022-06-05,,Solo Leisure,Economy Class,Paris to Toronto,June 2022,1,3,2,3,1,0,3,0,2022,6
air-france,1,week in Argentina without my luggage, Canada ,2022-06-03,,Business,Business Class,Geneva to Buenos Aires via Paris ,May 2022,2,1,0,0,1,0,1,0,2022,6
air-france,8,I really liked the whole experience, Canada ,2022-06-02,Boeing 777-300ER,Solo Leisure,Business Class,San Francisco to Paris,May 2022,4,5,4,4,3,0,5,1,2022,6
air-france,3,their system would not let me enter/select special meals, Canada ,2022-05-31,,Solo Leisure,Economy Class,"Paris, France to Bangalore, India",May 2022,2,3,1,2,4,3,2,0,2022,5
air-france,7,Shameful and inexcusable, Canada ,2022-05-22,Boeing 777-200 / 777-300,Business,Business Class,Conakry to Washington via Paris,December 2021,4,4,0,0,1,0,3,0,2022,5
air-france,1,Very disrespectful, Canada ,2022-05-22,,Family Leisure,Business Class,Abuja to Amsterdam via Paris,May 2022,4,3,3,2,1,4,1,0,2022,5
air-france,3,Very poor meals for a 10hour flight, Canada ,2022-05-22,,Couple Leisure,Economy Class,Paris to Havana,May 2022,1,2,1,1,4,3,2,0,2022,5
air-france,2,"nothing but polite, courteous", Canada ,2022-05-18,Boeing 777,Solo Leisure,Economy Class,Toronto to Mumbai via Paris,April 2022,2,1,3,3,1,4,2,0,2022,5
air-france,1,It was inhumane, Canada ,2022-05-15,,Couple Leisure,Economy Class,Paris CDG to Los Angeles,May 2022,2,1,1,2,3,0,1,0,2022,5
air-france,4,return flight was changed so many times, Canada ,2022-05-09,,Couple Leisure,Economy Class,Paris to Amsterdam,May 2022,1,3,1,0,2,0,1,0,2022,5
air-france,10,Plane was spotless, Canada ,2022-05-05,,Solo Leisure,Economy Class,Paris to Lyon,May 2022,5,5,5,0,5,0,5,1,2022,5
air-france,1,got nothing but the run around, Canada ,2022-04-19,,Solo Leisure,Economy Class,,September 2021,0,0,0,0,0,0,1,0,2022,4
air-france,2,would not recommend, Canada ,2022-04-15,,Family Leisure,Economy Class,Tel Aviv to Toronto via Paris,April 2022,3,1,2,3,1,4,1,0,2022,4
air-france,1,didn’t bother to put my bag on the aircraft, Canada ,2022-04-06,A319,Business,Economy Class,Paris to Newcastle,April 2022,1,1,1,0,1,1,1,0,2022,4
air-france,7,nothing by way of compensation, Canada ,2022-04-05,Boeing 777-200 / 777-300,Business,Business Class,Conakry to Washington via Paris,December 2021,4,4,4,4,2,4,3,1,2022,4
air-france,1,fighting since 2.5 months to get money from the airline, Canada ,2022-04-05,,Business,Economy Class,Vienna to New York via Paris,January 2022,4,5,3,4,1,0,1,0,2022,4
air-france,1,Zero responsibility, Canada ,2022-04-04,,Solo Leisure,Economy Class,Houston to Paris,January 2022,1,1,1,1,1,1,1,0,2022,4
air-france,1,lack of respect, Canada ,2022-04-03,,Business,Economy Class,Madrid to Cork via Paris,April 2022,1,1,1,1,1,1,1,0,2022,4
air-france,1,didn’t confirm our seats on our Delta flights, Canada ,2022-03-25,,Couple Leisure,Economy Class,Detroit to Barcelona via Paris,March 2022,1,1,0,0,1,0,1,0,2022,3
air-france,8,a good experience, Canada ,2022-03-21,,Solo Leisure,Economy Class,Bucharest to Paris,March 2022,4,5,4,0,5,0,4,1,2022,3
air-france,1,Extremely poor customer service, Canada ,2022-03-15,,Solo Leisure,Economy Class,Toronto to Dubai via Paris,March 2022,0,0,0,0,1,0,1,0,2022,3
air-france,2,I got no compensation, Canada ,2022-03-14,Boeing 777,Solo Leisure,Economy Class,Paris to Chicago,November 2021,3,5,0,0,4,0,2,0,2022,3
air-france,1,6 days now and no answer, Canada ,2022-03-11,,Solo Leisure,Economy Class,Tunis to Boston via Paris,March 2022,2,3,0,0,1,0,1,0,2022,3
air-france,2,service in Mumbai is sub-par at best, Canada ,2022-02-27,A350,Solo Leisure,Economy Class,Mumbai to Paris,February 2022,4,1,1,0,1,0,1,0,2022,2
air-france,8,Very relaxed flight, Canada ,2022-02-20,Boeing 777-300ER / A320,Solo Leisure,Economy Class,Bangkok to London via Paris,February 2022,4,5,4,3,4,4,5,1,2022,2
air-france,10,flying like in the good old days, Canada ,2022-02-18,Boeing 777 / A319,Solo Leisure,Economy Class,Budapest to New York visa Paris,February 2022,5,5,5,5,5,5,5,1,2022,2
air-france,7,my trip was pretty good., Canada ,2022-02-09,,Solo Leisure,Economy Class,Washington to Rabat via Paris,November 2021,3,3,3,4,4,3,3,1,2022,2
air-france,1,my baggage didn't make it, Canada ,2022-01-27,,Solo Leisure,Economy Class,Nice to Beirut via  Paris ,January 2022,3,4,4,4,1,0,3,0,2022,1
air-france,3,Air France customer review, Canada ,2022-01-26,Boeing 787,Couple Leisure,Economy Class,"Colombo, Sri Lanka to Paris, France",January 2022,3,1,2,5,4,4,2,0,2022,1
air-france,8,great alternative to fly across the Atlantic, Canada ,2022-01-19,Boeing 777-300ER,Solo Leisure,Premium Economy,Paris to Miami,November 2021,3,4,3,5,5,5,4,1,2022,1
air-france,8,A pleasurable experience!, United States ,2022-01-04,A320/350-900,Solo Leisure,Economy Class,Bordeaux to Atlanta via Paris,December 2021,3,5,4,4,4,5,3,1,2022,1
air-france,1,poorly organised and poorly communicated, United States ,2021-12-30,Boeing 777-300,Solo Leisure,Economy Class,Chicago to Newcastle via Paris,December 2021,0,0,0,0,1,0,1,0,2021,12
air-france,9,Air France was very professional, United States ,2021-12-19,,Solo Leisure,Economy Class,Rome to Singapore,December 2021,5,5,4,4,5,4,5,1,2021,12
air-france,1,I did receive a full refund, United States ,2021-12-16,,Solo Leisure,Economy Class,Boston to Rome via Paris,August 2021,0,0,0,0,0,0,1,0,2021,12
air-france,8,Air France was very pleasant, United States ,2021-12-14,A350-900,Solo Leisure,Economy Class,Frankfurt to Toronto via Paris,October 2021,5,4,4,4,4,5,4,1,2021,12
air-france,10,delivered great service as expected, United States ,2021-12-13,A220-300,Solo Leisure,Economy Class,Paris to Madrid,November 2021,5,5,3,0,5,0,5,1,2021,12
air-france,10,Service onboard was fantastic, United States ,2021-12-11,Boeing 777-300ER,Solo Leisure,Economy Class,New York to Paris,November 2021,5,5,5,5,5,0,5,1,2021,12
air-france,1,waited for over 45mins on the line, United States ,2021-12-09,,Solo Leisure,Economy Class,London to Marrakech via Paris,December 2021,0,0,0,0,0,0,1,0,2021,12
air-france,7,I can't say I'd be rushing to book with them again, United States ,2021-12-06,Boeing 777-200 and Boeing 777-300,Business,Business Class,Conakry to Washington via Paris,December 2021,3,4,4,4,2,3,3,1,2021,12
air-france,7,would recommend flying with them, Japan ,2022-06-21,,Family Leisure,Economy Class,Osaka to Rome via Paris,May 2022,1,4,3,4,4,3,3,1,2022,6
air-france,10,rest of the crew were equally supportive, Japan ,2022-06-21,A350,Couple Leisure,Economy Class,Paris to Montreal,June 2022,4,5,4,4,4,4,4,1,2022,6
air-france,1,Horrible service and food, Japan ,2022-06-20,,Couple Leisure,Economy Class,Paris to Vancouver,June 2022,2,1,1,3,2,1,1,0,2022,6
air-france,10,He really made our day, Japan ,2022-06-19,,Family Leisure,Economy Class,Mumbai to Paris,June 2022,5,5,5,5,5,5,5,1,2022,6
air-france,9,A smooth and hassle-free flight, Japan ,2022-06-18,A220-300,Solo Leisure,Economy Class,Paris CDG to Berlin,April 2022,5,5,5,2,5,5,5,1,2022,6
air-france,10,Was pleasantly surprised with Air France, Japan ,2022-06-15,A330,Couple Leisure,Economy Class,Paris to Sint Maarten,June 2022,3,5,5,5,5,0,5,1,2022,6
air-france,2,will avoid Air France at all costs, Japan ,2022-06-14,,Family Leisure,Economy Class,Washington  to Florence via Paris CDG,June 2022,1,5,1,3,1,1,1,0,2022,6
air-france,1,they lost my suitcase, Japan ,2022-06-12,,Solo Leisure,Economy Class,Johannesburg to Paris via Heathrow,June 2022,1,1,1,2,1,0,2,0,2022,6
air-france,1,rebooking experience was so disappointing, Japan ,2022-06-09,,Solo Leisure,Economy Class,Berlin to Seoul via Amsterdam,April 2022,2,1,3,2,2,0,2,0,2022,6
air-france,1,Awful customer service, Japan ,2022-06-05,,Couple Leisure,Economy Class,Bangkok to London Heathrow via Paris,May 2022,2,1,0,3,1,2,1,0,2022,6
air-france,5,"All in all, a decent experience", United Kingdom ,2021-12-05,Boeing 777-200 / A320-200,Solo Leisure,Business Class,Mosco to London via Paris,December 2021,3,4,3,4,3,5,4,0,2021,12
air-france,1,My experience was very horrible, United Kingdom ,2021-12-01,,Solo Leisure,Economy Class,London Heathrow to San Francisco via Italy & Paris,November 2021,1,1,1,1,1,1,1,0,2021,12
air-france,6,Check-in was a mess, United Kingdom ,2021-11-29,Boeing 777-300,Business,Business Class,Washington to Paris,November 2021,3,3,1,2,1,0,3,0,2021,11
air-france,1,WIFI not working, United Kingdom ,2021-11-23,,Business,Premium Economy,Milan to Los Angeles via Paris,November 2021,1,1,3,3,1,1,1,0,2021,11
air-france,1,told me the flight had already left, United Kingdom ,2021-11-16,,Solo Leisure,Economy Class,Tunis to Geneva via Paris,November 2021,3,1,1,0,1,4,1,0,2021,11
air-france,1,was refused access to the plane, United Kingdom ,2021-11-12,,Solo Leisure,Economy Class,Paris to Miami via Madrid,October 2021,3,3,2,2,1,1,3,0,2021,11
air-france,3,do not overpay for business class, United Kingdom ,2021-10-26,Boeing 777-200,Business,Business Class,San José to Paris,October 2021,2,2,2,2,2,0,2,0,2021,10
air-france,3, cannot be considered as carry on, United Kingdom ,2021-10-14,,Business,Economy Class,Barcelona to Paris,October 2021,2,4,1,0,1,0,3,0,2021,10
air-france,1,I still have to see my money back, United Kingdom ,2021-10-06,,Business,Economy Class,Fortaleza to Warsaw via Paris,April 2021,0,0,0,0,0,0,3,0,2021,10
air-france,7,business class tagged bag was last to arrive, United Kingdom ,2021-10-04,A318,Solo Leisure,Business Class,Paris to Milan,October 2021,2,5,1,0,5,4,3,1,2021,10
air-france,9,Efficient friendly service, United States ,2021-10-04,Boeing 787-9,Solo Leisure,Business Class,Boston to Paris,October 2021,5,5,5,5,4,5,5,1,2021,10
air-france,1,we will never again fly AF, United States ,2021-10-03,Boeing 777-300,Couple Leisure,Business Class,Paris to Los Angeles,September 2021,3,1,1,4,1,0,1,0,2021,10
air-france,1,provided a 10 minute window for boarding, United States ,2021-10-03,,Business,Premium Economy,Vienna to Paris CDG,August 2021,1,1,0,0,1,0,1,0,2021,10
air-france,10,I really recommend Air France, United States ,2021-10-03,,Solo Leisure,Economy Class,Washington to Paris CDG,September 2021,5,5,5,5,5,5,5,1,2021,10
air-france,1,zero service in Business Class, United States ,2021-09-09,E190,Business,Economy Class,Manchester to Paris CDG,August 2021,2,1,1,0,3,0,1,0,2021,9
air-france,9,really down to a fabulous crew, United States ,2021-09-08,Boeing 787,Couple Leisure,Business Class,Lisbon to Paris CDG via Detroit ,August 2021,4,5,5,5,1,1,5,1,2021,9
air-france,7,Service on board was efficient, United States ,2021-08-24,CRJ1000,Couple Leisure,Economy Class,Amsterdam to Marseille,August 2021,2,4,2,0,5,0,3,1,2021,8
air-france,2,no longer giving miles  with Economy class, United States ,2021-08-18,A319,Solo Leisure,Economy Class,Paris CDG to Warsaw,August 2021,2,4,0,0,1,0,1,0,2021,8
air-france,1,Easyjet's a way better option for intra European travel, United States ,2021-08-12,A320,Business,Economy Class,Paris to Venice,August 2021,1,1,0,0,1,0,1,0,2021,8
air-france,1,forgot a part of the luggage in Paris, United States ,2021-07-30,,Family Leisure,Economy Class,Paris to Yaounde,July 2021,3,4,3,4,1,0,1,0,2021,7
air-france,9,Excellent way to fly between Europe and Brazil, Brazil ,2021-03-06,A350,Business,Economy Class,Paris to Sao Paulo,March 2021,4,5,3,5,5,5,5,1,2021,3
air-france,1,the worst customer service I have received, Brazil ,2021-02-20,,Family Leisure,Economy Class,Madrid to New York,September 2020,1,1,0,0,1,0,1,0,2021,2
air-france,1,I really suggest you avoid Air France, Brazil ,2021-02-09,,Solo Leisure,Economy Class,Basel to Ho Chi Minh via Amsterdam and Kuala Lumpur,March 2020,0,0,0,0,0,0,1,0,2021,2
air-france,1,refused to let my mother board a flight, Brazil ,2020-10-19,MBM4YR,Business,Economy Class,Nairobi to Atlanta via Paris ,October 2020,0,0,0,0,1,0,1,0,2020,10
air-france,10,I was very impressed, Brazil ,2020-10-15,A350,Solo Leisure,Economy Class,Barcelona to Mumbai via Paris,October 2020,3,5,5,4,5,5,5,1,2020,10
air-france,2,not allowed on board, Brazil ,2020-10-15,,Solo Leisure,Economy Class,Istanbul to Cancun via Paris,October 2020,5,5,0,0,1,0,5,0,2020,10
air-france,1,never fly with Air France again, Brazil ,2020-10-11,,Solo Leisure,Economy Class,Los Angeles to Tunis via Paris,August 2020,1,0,0,0,1,0,1,0,2020,10
air-france,1,I will have to wait for 3 months, Brazil ,2020-10-09,,Solo Leisure,Economy Class,Copenhagen to Toulouse via Paris,August 2020,0,0,0,0,0,0,1,0,2020,10
air-france,7,Air France can do much better on the food, Brazil ,2020-10-04,A350,Business,Economy Class,Paris CDG to Sao Paulo,October 2020,3,3,1,3,4,0,4,1,2020,10
air-france,9,service was extremely nice and polite, Brazil ,2020-10-04,,Solo Leisure,Economy Class,Zagreb to Lisbon via Paris CDG,September 2020,5,5,4,0,5,4,5,1,2020,10
air-france,1,They will check your bag weight, Colombia ,2020-09-09,,Solo Leisure,Economy Class,Paris to Barcelona,September 2020,0,0,0,1,1,1,1,0,2020,9
air-france,1,no excuse for this horrible service, Colombia ,2020-09-08,Boeing 777-300,Solo Leisure,Business Class,New York JFK to Paris CDG,September 2020,3,3,3,3,1,3,1,0,2020,9
air-france,9,inflight service was good, Colombia ,2020-08-24,A320,Couple Leisure,Economy Class,Marseilles to Athens,August 2020,4,5,4,4,5,4,5,1,2020,8
air-france,1,no trace of baggage, Colombia ,2020-08-18,,Solo Leisure,Economy Class,Georgia to Boston via Paris,August 2020,1,1,1,1,2,0,2,0,2020,8
air-france,5,had the mask only on the chin, Colombia ,2020-08-07,A321,Solo Leisure,Economy Class,Bastia to Paris Orly,August 2020,3,2,0,0,3,0,3,1,2020,8
air-france,1,"no refund, no information", Colombia ,2020-07-24,,Couple Leisure,Economy Class,Paris to Palma de Mallorca,April 2020,0,0,0,0,0,0,1,0,2020,7
air-france,1,my ticket is non refundable, Colombia ,2020-07-20,,Couple Leisure,Economy Class,Paris to Lisbon,July 2020,0,0,0,0,0,0,1,0,2020,7
air-france,1,answer that I should contact KLM service, Colombia ,2020-06-16,Boeing 737-700,Couple Leisure,Economy Class,Kiev to Nantes via Amsterdam,June 2020,0,0,0,0,0,0,1,0,2020,6
air-france,10,our first choice of airline, Colombia ,2020-05-23,,Couple Leisure,Economy Class,Los Angeles to Paris,August 2019,0,0,0,0,0,0,5,1,2020,5
air-france,9,well trained and friendly staff, Colombia ,2020-05-19,A320,Solo Leisure,Business Class,Vienna to Munich via Paris,March 2020,5,5,5,0,5,0,5,1,2020,5
air-france,1,the worst travel experience, United States ,2021-06-25,,Family Leisure,Economy Class,Washington to Douala via Paris,June 2021,1,1,1,0,1,0,1,0,2021,6
air-france,4,not to trust Travel Docs, United States ,2021-06-22,Boeing 777,Solo Leisure,Economy Class,Los Angeles to Paris,June 2021,2,5,2,4,1,0,3,0,2021,6
air-france,1,every shop was closed\3, United States ,2021-06-13,,Solo Leisure,Economy Class,Moscow to Paris,June 2021,1,1,0,0,1,0,1,0,2021,6
air-france,1,We can't eat vegetarian food, United States ,2021-06-06,,Family Leisure,Economy Class,Chicago to Cairo via Paris,May 2021,1,1,1,0,1,0,1,0,2021,6
